site,checkpoint,km,refueling,cutOffTime
Vielle Aure,Départ,0.0,Départ,.2021-8-21 5:00
Restaurant Merlans,CP,15.8,Petit Rav,.2021-8-21 8:45
Col de Bastanet,CP,21.4,,
La Mongie,CP,30.5,Petit Rav,.2021-8-21 13:30
Col de Sencours,CP,36.1,Petit Rav,.2021-8-21 15:45
Pic du Midi,CP,39.6,,.2021-8-21 16:45
Col de Sencours,CP,43.0,Petit Rav,
Tournaboup Entrée,CP,50.8,Gros Rav,.2021-8-21 19:30
Tournaboup Sortie,CP,51.0,,.2021-8-21 20:00
Cabane d'Aygues cluses,CP,57.3,Petit Rav,.2021-8-21 22:45
Hourquette Nère,CP,59.5,,
Restaurant Merlans,CP,67.4,Petit Rav,.2021-8-22 2:15
Vielle Aure,Arrivée,81.1,Petit Rav,.2021-8-22 6:00
