site,checkpoint,km,refueling,cutOffTime
Vielle Aure,Départ,0.0,Départ,.2021-8-20 6:00
Restaurant Merlans,CP,15.8,Petit Rav,.2021-8-20 8:30
Col de Bastanet,CP,21.4,,
La Mongie,CP,30.5,Petit Rav,.2021-8-20 13:00
Col de Sencours,CP,35.9,Petit Rav,.2021-8-20 15:00
Pic du Midi,CP,39.4,,
Col de Sencours,CP,42.8,Petit Rav,.2021-8-20 16:30
Col d'Aoube,,47.3,,.2021-8-20 17:45
Col de Bareilles,CP,53.1,,
Hautacam,CP,62.1,Petit Rav,.2021-8-20 21:30
Pierrefitte Entrée,CP,75.0,Gros Rav,.2021-8-21 0:00
Pierrefitte Sortie,CP,75.0,,.2021-8-21 0:30
Cabane de Conques,CP,87.3,Petit Rav,.2021-8-21 5:00
Cauterets,CP,97.3,Petit Rav,.2021-8-21 7:30
Aulian,CP,106.2,Petit Rav,
Luz Saint Sauveur Entrée,CP,114.6,Gros Rav,.2021-8-21 13:15
Luz Saint Sauveur Sortie,CP,114.6,,.2021-8-21 13:45
Tournaboup Entrée,CP,130.3,Petit Rav,.2021-8-21 18:45
Tournaboup Sortie,CP,130.3,,.2021-8-21 19:15
Cabane d'Aygues cluses,CP,136.8,Petit Rav,.2021-8-21 22:15
Hourquette Nère,CP,138.9,,
Restaurant Merlans,CP,146.9,Petit Rav,.2021-8-22 2:15
Vielle Aure,Arrivée,160.5,Petit Rav,.2021-8-22 6:00
