location,distance,refueling,cumulativeElevationGain,cumulativeNegativeGain,cutOffTime
Vielle Aure,0.0,Départ,0,0,2019-08-22 6:00:00,
Fin D19,3.35988,,0,27,
Route forestière,4.87866,,146,27,
D30,5.28768,,146,107,
Ancizan,7.03086,,146,137,
Traversée D30,8.79648,,428,137,
Hourquette Ancizan,13.77306,,950,137,
Hourquette d'Arreau,14.09742,,950,200,
Cap de Sarrat Terme,14.66454,,1019,200,
Cabanes de la Hosse,15.45198,,1019,404,
Lac de Payolle,18.24678,,1019,674,
Payolle,20.07768,Petit Rav,1019,721,2019-08-22 10:45:00,
La Gaoubole,22.74906,,1120,721,
Sous Courtalets,24.4698,,1164,721,
Coume de Navarin,28.61814,,1210,721,
Artigues,29.13324,,1210,791,
D918,29.54838,,1298,791,
Tramazaygues,30.14916,,1430,791,
Pont des Vaques,31.12428,,1560,791,
Cabanes de Pene Blanque,33.25914,,1910,791,
Col de Sencours,35.89992,Petit Rav,2378,791,2019-08-22 15:00:00,
Pic du Midi,39.35568,,2876,791,2019-08-22 16:00:00,
Col de Sencours,42.83286,Petit Rav,2876,1289,2019-08-22 16:40:00,
Ruisseau d'Oncet,43.81716,,2876,1467,
Col de la Bonida,44.89734,,2978,1467,
Lac d'Aouda,46.51608,,2978,1561,
Col d'Aoube,47.36268,,3139,1561,2019-08-22 18:00:00,
Lac Bleu,50.9337,,3139,1980,
Cabane de Bareilles,51.44064,,3197,1980,
Col de Bareilles,52.22298,,3427,1980,
lac d'Ourrec,55.08204,,3427,2551,
Hourquette d'Ouscouaou,56.49576,,3632,2551,
Col de Moulata,59.59452,,3632,2808,
Hautacam,61.1898,Petit Rav,3632,2914,2019-08-22 21:45,
Ruisseau des Bariquères,65.88792,,3632,3383,
Villelongue,70.75842,,3632,3919,
D921,72.72192,,3632,3943,
Haut conduite forcée,72.82698,,3672,3943,
Pierrefitte Entrée,73.94796,Gros Rav,3672,3988,2019-08-23 0:15:00,
Pierrefitte Sortie,73.94796,,3672,3988,2019-08-23 0:45:00,
Fin route Uz,77.24052,,4097,3988,
Turon de Bene,82.58532,,4746,3988,
Cabane d'Artigue det Mi,85.53006,,4746,4216,
Ruisseau de Carasse,87.94746,,4746,4567,
Cularous,89.75184,,4806,4567,
Cazanave,90.60864,,4806,4654,
Estaing,91.97646,Petit Rav,4848,4654,2019-08-23 6:30:00,
Lac Estaing,97.02036,,5027,4654,
Arriousec,98.30148,,5305,4654,
Col Ilhéou,102.0102,,6119,4654,
Cr�te Lys,103.71156,,6119,4747,
Station Lys,105.42924,Eau,6119,5065,
Cambasque,108.04554,,6119,5560,
Cauterets Entrée,111.18,Gros Rav,6119,5984,2019-08-23 12:45:00,
Cauterets Sortie,111.18,,6119,5984,2019-08-23 13:15:00,
La Raillère,113.56884,,6243,5984,
Pont d'Espagne,117.43974,,6693,5984,
Lac de Gaube,119.64906,,6933,5984,
Refuge des Oulettes,125.15808,Petit Rav,7343,5984,2019-08-23 18:15:00,
Lacs d'Arraillé,126.82068,,7628,5984,
Hourquette d'Ossoue,128.59242,,7927,5984,
Refuge de Baysellance,129.42168,Eau,7927,6067,
Barrage d'Ossoue,134.97864,,7927,6884,
Espugue de Millas,136.25568,,7927,6984,
Pont d'Artigouli,139.1484,,7927,7075,
Pont de St Savin,141.52194,,7927,7288,
Grange de Holles,142.3257,,8017,7288,
Gavarnie,144.41364,Gros Rav,8017,7438,2019-08-24 0:30:00,
Pont de Genebre,145.39284,,8025,7438,
Gave d'Ossoue,145.81512,,8025,7516,
Soula de Sarre,145.88856,,8070,7516,
Bareilles,146.61786,,8070,7581,
Hount de Ourious,148.2672,,8450,7581,
Gite Saugué,149.57586,,8450,7594,
Pont de Saugué,150.5418,,8450,7710,
Gave d'Aspé,151.71276,,8450,7941,
Route Saussa,151.98612,,8480,7941,
Pont de Saussa,153.81498,,8480,8241,
Gèdre,154.65138,Petit Rav,8480,8261,2019-08-24 4:00:00,
Trimbareilles,157.66752,,8480,8265,
Arrode,159.73098,,8884,8265,
Sia,161.976,,8884,8844,
Croix de Sia,164.17308,,9083,8844,
Saint Sauveur,165.77142,,9083,9136,
Pont du Gave,166.50276,,9083,9190,
Luz Saint Sauveur Entrée,166.95666,Gros Rav,9086,9190,2019-08-24 8:30:00,
Luz Saint Sauveur Sortie,166.95666,,9086,9190,2019-08-24 9:00:00,
Esterre,168.53766,,9155,9190,
Viella,169.0599,,9250,9190,
Moules,169.66782,,9314,9190,
D918,170.39712,,9314,9230,
Betpouey,171.0234,,9429,9230,
Plateau Lumière,173.62338,,9789,9230,
